event,weight,type,used_in
purchase,100,macro,GA4 key event / campaign bidding / ROAS
quote_request,40,macro,GA4 key event / lead value model
tool_submit,40,macro,GA4 key event
signup,25,macro,GA4 key event
profile_complete,25,macro,GA4 key event
credit_apply,40,macro,finance funnel
credit_approved,60,macro,finance funnel
callback_request,15,micro,lead nurture
notify_me_submit,20,micro,restock recovery
file_download,8,micro,content nurture
chat_click,5,micro,sales assist
phone_click,5,micro,sales assist
review_submit,5,micro,social proof
pwa_install,4,micro,retention
newsletter_subscribe,4,micro,crm
referral_share,4,micro,referral K
login_gate_hit,0,diagnostic,never bid on this
utm_missing,0,qa,never bid on this
